1553:	236 
1554:	359 2379 
1555:	2379 
1556:	2379 
1557:	236 1934 11861 
1558:	1934 
1559:	236 2336 2911 11340 12314 
1560:	9917 
1561:	9917 
1562:	115 2379 
1563:	3366 
1564:	236 
1565:	236 
1566:	236 
1567:	236 3700 
1568:	236 
1569:	236 
1570:	236 
1571:	236 
1572:	236 
1573:	236 
1574:	236 
1575:	5524 
1576:	4144 16082 
1577:	236 
1578:	2734 
1579:	2734 
1580:	236 9955 
1581:	9955 
1582:	9955 
1583:	287 9955 
1584:	3993 6105 
1585:	335 10420 
1586:	236 
1587:	236 10004 
1588:	2823 3700 
1589:	3700 
1590:	3679 
1591:	3679 
1592:	236 
1593:	236 
1594:	2663 3206 
1595:	1458 3206 3993 
1596:	6156 10047 10758 11106 
1597:	3165 
1598:	3165 
1599:	5326 12314 
1600:	2283 5326 12934 
1601:	2609 4642 5326 10062 
1602:	236 1219 7787 12314 
1603:	236 
1604:	236 
1605:	236 1324 
